fecha,producto,dia_semana,mes,ventas
2024-01-21,Galletas,6,1,9
2024-01-21,Pastel,6,1,7
2024-01-22,Pan francés,0,1,37
2024-01-22,Pan dulce,0,1,26
2024-01-22,Galletas,0,1,16
2024-01-22,Pastel,0,1,9
2024-01-23,Pan francés,1,1,41
2024-01-23,Pan dulce,1,1,25
2024-01-23,Galletas,1,1,16
2024-01-23,Pastel,1,1,10
2024-01-24,Pan francés,2,1,41
2024-01-24,Pan dulce,2,1,22
2024-01-24,Galletas,2,1,16
2024-01-24,Pastel,2,1,10
2024-01-25,Pan francés,3,1,44
2024-01-25,Pan dulce,3,1,24
2024-01-25,Galletas,3,1,17
2024-01-25,Pastel,3,1,9
2024-01-26,Pan francés,4,1,69
2024-01-26,Pan dulce,4,1,37
2024-01-26,Galletas,4,1,21
2024-01-26,Pastel,4,1,13
2024-01-27,Pan francés,5,1,59
2024-01-27,Pan dulce,5,1,42
2024-01-27,Galletas,5,1,24
2024-01-27,Pastel,5,1,16
2024-01-28,Pan francés,6,1,24
2024-01-28,Pan dulce,6,1,21
2024-01-28,Galletas,6,1,12
2024-01-28,Pastel,6,1,7
2024-01-29,Pan francés,0,1,37
2024-01-29,Pan dulce,0,1,24
2024-01-29,Galletas,0,1,17
2024-01-29,Pastel,0,1,8
2024-01-30,Pan francés,1,1,38
2024-01-30,Pan dulce,1,1,28
2024-01-30,Galletas,1,1,14
2024-01-30,Pastel,1,1,9
2024-01-31,Pan francés,2,1,40
2024-01-31,Pan dulce,2,1,21
2024-01-31,Galletas,2,1,15
2024-01-31,Pastel,2,1,8
2024-02-01,Pan francés,3,2,43
2024-02-01,Pan dulce,3,2,25
2024-02-01,Galletas,3,2,18
2024-02-01,Pastel,3,2,10
2024-02-02,Pan francés,4,2,68
2024-02-02,Pan dulce,4,2,32
2024-02-02,Galletas,4,2,22
2024-02-02,Pastel,4,2,15
2024-02-03,Pan francés,5,2,70
2024-02-03,Pan dulce,5,2,31
2024-02-03,Galletas,5,2,24
2024-02-03,Pastel,5,2,15
2024-02-04,Pan francés,6,2,36
2024-02-04,Pan dulce,6,2,21
2024-02-04,Galletas,6,2,12
2024-02-04,Pastel,6,2,7
2024-02-05,Pan francés,0,2,35
2024-02-05,Pan dulce,0,2,25
2024-02-05,Galletas,0,2,14
2024-02-05,Pastel,0,2,12
2024-02-06,Pan francés,1,2,37
2024-02-06,Pan dulce,1,2,25
2024-02-06,Galletas,1,2,12
2024-02-06,Pastel,1,2,9
2024-02-07,Pan francés,2,2,41
2024-02-07,Pan dulce,2,2,27
2024-02-07,Galletas,2,2,17
2024-02-07,Pastel,2,2,9
2024-02-08,Pan francés,3,2,35
2024-02-08,Pan dulce,3,2,26
2024-02-08,Galletas,3,2,15
2024-02-08,Pastel,3,2,10
2024-02-09,Pan francés,4,2,55
2024-02-09,Pan dulce,4,2,41
2024-02-09,Galletas,4,2,22
2024-02-09,Pastel,4,2,16
2024-02-10,Pan francés,5,2,67
2024-02-10,Pan dulce,5,2,39
2024-02-10,Galletas,5,2,23
2024-02-10,Pastel,5,2,18
2024-02-11,Pan francés,6,2,32
2024-02-11,Pan dulce,6,2,19
2024-02-11,Galletas,6,2,12
2024-02-11,Pastel,6,2,9
2024-02-12,Pan francés,0,2,40
2024-02-12,Pan dulce,0,2,26
2024-02-12,Galletas,0,2,16
2024-02-12,Pastel,0,2,9
2024-02-13,Pan francés,1,2,33
2024-02-13,Pan dulce,1,2,25
2024-02-13,Galletas,1,2,15
2024-02-13,Pastel,1,2,9
2024-02-14,Pan francés,2,2,43
2024-02-14,Pan dulce,2,2,26
2024-02-14,Galletas,2,2,13
2024-02-14,Pastel,2,2,10
2024-02-15,Pan francés,3,2,39
2024-02-15,Pan dulce,3,2,21
2024-02-15,Galletas,3,2,15
2024-02-15,Pastel,3,2,9
2024-02-16,Pan francés,4,2,55
2024-02-16,Pan dulce,4,2,39
2024-02-16,Galletas,4,2,23
2024-02-16,Pastel,4,2,14
2024-02-17,Pan francés,5,2,62
2024-02-17,Pan dulce,5,2,41
2024-02-17,Galletas,5,2,20
2024-02-17,Pastel,5,2,15
2024-02-18,Pan francés,6,2,32
2024-02-18,Pan dulce,6,2,24
2024-02-18,Galletas,6,2,9
2024-02-18,Pastel,6,2,8
2024-02-19,Pan francés,0,2,38
2024-02-19,Pan dulce,0,2,24
2024-02-19,Galletas,0,2,17
2024-02-19,Pastel,0,2,9
2024-02-20,Pan francés,1,2,48
2024-02-20,Pan dulce,1,2,23
2024-02-20,Galletas,1,2,15
2024-02-20,Pastel,1,2,9
2024-02-21,Pan francés,2,2,37
2024-02-21,Pan dulce,2,2,25
2024-02-21,Galletas,2,2,14
2024-02-21,Pastel,2,2,10
2024-02-22,Pan francés,3,2,31
2024-02-22,Pan dulce,3,2,30
2024-02-22,Galletas,3,2,14
2024-02-22,Pastel,3,2,11
2024-02-23,Pan francés,4,2,53
2024-02-23,Pan dulce,4,2,38
2024-02-23,Galletas,4,2,29
2024-02-23,Pastel,4,2,13
2024-02-24,Pan francés,5,2,51
2024-02-24,Pan dulce,5,2,35
2024-02-24,Galletas,5,2,23
2024-02-24,Pastel,5,2,16
2024-02-25,Pan francés,6,2,36
2024-02-25,Pan dulce,6,2,19
2024-02-25,Galletas,6,2,10
2024-02-25,Pastel,6,2,7
2024-02-26,Pan francés,0,2,44
2024-02-26,Pan dulce,0,2,26
2024-02-26,Galletas,0,2,12
2024-02-26,Pastel,0,2,9
2024-02-27,Pan francés,1,2,45
2024-02-27,Pan dulce,1,2,30
2024-02-27,Galletas,1,2,15
2024-02-27,Pastel,1,2,10
2024-02-28,Pan francés,2,2,35
2024-02-28,Pan dulce,2,2,22
2024-02-28,Galletas,2,2,15
2024-02-28,Pastel,2,2,10
2024-02-29,Pan francés,3,2,42
2024-02-29,Pan dulce,3,2,23
2024-02-29,Galletas,3,2,13
2024-02-29,Pastel,3,2,9
2024-03-01,Pan francés,4,3,53
2024-03-01,Pan dulce,4,3,39
2024-03-01,Galletas,4,3,17
2024-03-01,Pastel,4,3,14
2024-03-02,Pan francés,5,3,62
2024-03-02,Pan dulce,5,3,43
2024-03-02,Galletas,5,3,22
2024-03-02,Pastel,5,3,16
2024-03-03,Pan francés,6,3,30
2024-03-03,Pan dulce,6,3,18
2024-03-03,Galletas,6,3,11
2024-03-03,Pastel,6,3,9
2024-03-04,Pan francés,0,3,43
2024-03-04,Pan dulce,0,3,26
2024-03-04,Galletas,0,3,19
2024-03-04,Pastel,0,3,9
2024-03-05,Pan francés,1,3,42
2024-03-05,Pan dulce,1,3,25
2024-03-05,Galletas,1,3,14
2024-03-05,Pastel,1,3,12
2024-03-06,Pan francés,2,3,46
2024-03-06,Pan dulce,2,3,21
2024-03-06,Galletas,2,3,14
2024-03-06,Pastel,2,3,10
2024-03-07,Pan francés,3,3,43
2024-03-07,Pan dulce,3,3,21
2024-03-07,Galletas,3,3,11
2024-03-07,Pastel,3,3,8
2024-03-08,Pan francés,4,3,59
2024-03-08,Pan dulce,4,3,37
2024-03-08,Galletas,4,3,23
2024-03-08,Pastel,4,3,13
2024-03-09,Pan francés,5,3,52
2024-03-09,Pan dulce,5,3,29
2024-03-09,Galletas,5,3,23
2024-03-09,Pastel,5,3,15
2024-03-10,Pan francés,6,3,35
2024-03-10,Pan dulce,6,3,21
2024-03-10,Galletas,6,3,11
2024-03-10,Pastel,6,3,9
2024-03-11,Pan francés,0,3,39
2024-03-11,Pan dulce,0,3,23
2024-03-11,Galletas,0,3,14
2024-03-11,Pastel,0,3,9
2024-03-12,Pan francés,1,3,31
2024-03-12,Pan dulce,1,3,25
2024-03-12,Galletas,1,3,15
2024-03-12,Pastel,1,3,9
2024-03-13,Pan francés,2,3,37
2024-03-13,Pan dulce,2,3,25
2024-03-13,Galletas,2,3,17
2024-03-13,Pastel,2,3,10
2024-03-14,Pan francés,3,3,37
2024-03-14,Pan dulce,3,3,23
2024-03-14,Galletas,3,3,14
2024-03-14,Pastel,3,3,8
2024-03-15,Pan francés,4,3,59
2024-03-15,Pan dulce,4,3,37
2024-03-15,Galletas,4,3,26
2024-03-15,Pastel,4,3,16
2024-03-16,Pan francés,5,3,66
2024-03-16,Pan dulce,5,3,34
2024-03-16,Galletas,5,3,24
2024-03-16,Pastel,5,3,13
2024-03-17,Pan francés,6,3,32
2024-03-17,Pan dulce,6,3,20
2024-03-17,Galletas,6,3,11
2024-03-17,Pastel,6,3,9
2024-03-18,Pan francés,0,3,42
2024-03-18,Pan dulce,0,3,20
2024-03-18,Galletas,0,3,15
2024-03-18,Pastel,0,3,9
2024-03-19,Pan francés,1,3,40
2024-03-19,Pan dulce,1,3,26
2024-03-19,Galletas,1,3,15
2024-03-19,Pastel,1,3,7
2024-03-20,Pan francés,2,3,35
2024-03-20,Pan dulce,2,3,26
2024-03-20,Galletas,2,3,16
2024-03-20,Pastel,2,3,11
2024-03-21,Pan francés,3,3,47
2024-03-21,Pan dulce,3,3,19
2024-03-21,Galletas,3,3,16
2024-03-21,Pastel,3,3,8
2024-03-22,Pan francés,4,3,69
2024-03-22,Pan dulce,4,3,38
2024-03-22,Galletas,4,3,19
2024-03-22,Pastel,4,3,18
2024-03-23,Pan francés,5,3,63
2024-03-23,Pan dulce,5,3,30
2024-03-23,Galletas,5,3,23
2024-03-23,Pastel,5,3,13
2024-03-24,Pan francés,6,3,32
2024-03-24,Pan dulce,6,3,19
2024-03-24,Galletas,6,3,13
2024-03-24,Pastel,6,3,6
2024-03-25,Pan francés,0,3,41
2024-03-25,Pan dulce,0,3,29
2024-03-25,Galletas,0,3,13
2024-03-25,Pastel,0,3,10
2024-03-26,Pan francés,1,3,40
2024-03-26,Pan dulce,1,3,23
2024-03-26,Galletas,1,3,15
2024-03-26,Pastel,1,3,10
2024-03-27,Pan francés,2,3,36
2024-03-27,Pan dulce,2,3,29
2024-03-27,Galletas,2,3,16
2024-03-27,Pastel,2,3,9
2024-03-28,Pan francés,3,3,37
2024-03-28,Pan dulce,3,3,23
2024-03-28,Galletas,3,3,16
2024-03-28,Pastel,3,3,9
2024-03-29,Pan francés,4,3,62
2024-03-29,Pan dulce,4,3,36
2024-03-29,Galletas,4,3,23
2024-03-29,Pastel,4,3,14
2024-03-30,Pan francés,5,3,64
2024-03-30,Pan dulce,5,3,36
2024-03-30,Galletas,5,3,24
2024-03-30,Pastel,5,3,16
2024-03-31,Pan francés,6,3,31
2024-03-31,Pan dulce,6,3,18
2024-03-31,Galletas,6,3,10
2024-03-31,Pastel,6,3,7
2024-04-01,Pan francés,0,4,36
2024-04-01,Pan dulce,0,4,27
2024-04-01,Galletas,0,4,14
2024-04-01,Pastel,0,4,11
2024-04-02,Pan francés,1,4,49
2024-04-02,Pan dulce,1,4,25
2024-04-02,Galletas,1,4,12
2024-04-02,Pastel,1,4,9
2024-04-03,Pan francés,2,4,39
2024-04-03,Pan dulce,2,4,21
2024-04-03,Galletas,2,4,14
2024-04-03,Pastel,2,4,10
2024-04-04,Pan francés,3,4,38
2024-04-04,Pan dulce,3,4,23
2024-04-04,Galletas,3,4,13
2024-04-04,Pastel,3,4,11
2024-04-05,Pan francés,4,4,59
2024-04-05,Pan dulce,4,4,34
2024-04-05,Galletas,4,4,21
2024-04-05,Pastel,4,4,16
2024-04-06,Pan francés,5,4,55
2024-04-06,Pan dulce,5,4,39
2024-04-06,Galletas,5,4,24
2024-04-06,Pastel,5,4,16
2024-04-07,Pan francés,6,4,36
2024-04-07,Pan dulce,6,4,18
2024-04-07,Galletas,6,4,13
2024-04-07,Pastel,6,4,7
2024-04-08,Pan francés,0,4,38
2024-04-08,Pan dulce,0,4,27
2024-04-08,Galletas,0,4,16
2024-04-08,Pastel,0,4,10
2024-04-09,Pan francés,1,4,35
2024-04-09,Pan dulce,1,4,26
2024-04-09,Galletas,1,4,14
2024-04-09,Pastel,1,4,9
2024-04-10,Pan francés,2,4,37
2024-04-10,Pan dulce,2,4,25
2024-04-10,Galletas,2,4,11
2024-04-10,Pastel,2,4,10
2024-04-11,Pan francés,3,4,40
2024-04-11,Pan dulce,3,4,23
2024-04-11,Galletas,3,4,16
2024-04-11,Pastel,3,4,10
2024-04-12,Pan francés,4,4,56
2024-04-12,Pan dulce,4,4,34
2024-04-12,Galletas,4,4,24
2024-04-12,Pastel,4,4,12
2024-04-13,Pan francés,5,4,58
2024-04-13,Pan dulce,5,4,35
2024-04-13,Galletas,5,4,22
2024-04-13,Pastel,5,4,15
2024-04-14,Pan francés,6,4,32
2024-04-14,Pan dulce,6,4,22
2024-04-14,Galletas,6,4,12
2024-04-14,Pastel,6,4,7
2024-04-15,Pan francés,0,4,35
2024-04-15,Pan dulce,0,4,26
2024-04-15,Galletas,0,4,15
2024-04-15,Pastel,0,4,11
2024-04-16,Pan francés,1,4,37
2024-04-16,Pan dulce,1,4,25
2024-04-16,Galletas,1,4,14
2024-04-16,Pastel,1,4,9
2024-04-17,Pan francés,2,4,40
2024-04-17,Pan dulce,2,4,20
2024-04-17,Galletas,2,4,16
2024-04-17,Pastel,2,4,10
2024-04-18,Pan francés,3,4,44
2024-04-18,Pan dulce,3,4,30
2024-04-18,Galletas,3,4,14
2024-04-18,Pastel,3,4,9
2024-04-19,Pan francés,4,4,60
2024-04-19,Pan dulce,4,4,44
2024-04-19,Galletas,4,4,18
2024-04-19,Pastel,4,4,15
2024-04-20,Pan francés,5,4,51
2024-04-20,Pan dulce,5,4,27
2024-04-20,Galletas,5,4,17
2024-04-20,Pastel,5,4,12
2024-04-21,Pan francés,6,4,35
2024-04-21,Pan dulce,6,4,18
2024-04-21,Galletas,6,4,11
2024-04-21,Pastel,6,4,7
2024-04-22,Pan francés,0,4,42
2024-04-22,Pan dulce,0,4,22
2024-04-22,Galletas,0,4,16
2024-04-22,Pastel,0,4,9
2024-04-23,Pan francés,1,4,36
2024-04-23,Pan dulce,1,4,25
2024-04-23,Galletas,1,4,15
2024-04-23,Pastel,1,4,11
2024-04-24,Pan francés,2,4,40
2024-04-24,Pan dulce,2,4,21
2024-04-24,Galletas,2,4,14
2024-04-24,Pastel,2,4,9
2024-04-25,Pan francés,3,4,42
2024-04-25,Pan dulce,3,4,25
2024-04-25,Galletas,3,4,14
2024-04-25,Pastel,3,4,10
2024-04-26,Pan francés,4,4,56
2024-04-26,Pan dulce,4,4,36
2024-04-26,Galletas,4,4,22
2024-04-26,Pastel,4,4,17
2024-04-27,Pan francés,5,4,59
2024-04-27,Pan dulce,5,4,36
2024-04-27,Galletas,5,4,20
2024-04-27,Pastel,5,4,16
2024-04-28,Pan francés,6,4,30
2024-04-28,Pan dulce,6,4,20
2024-04-28,Galletas,6,4,9
2024-04-28,Pastel,6,4,8
2024-04-29,Pan francés,0,4,34
2024-04-29,Pan dulce,0,4,23
2024-04-29,Galletas,0,4,16
2024-04-29,Pastel,0,4,8
2024-04-30,Pan francés,1,4,39
2024-04-30,Pan dulce,1,4,25
2024-04-30,Galletas,1,4,13
2024-04-30,Pastel,1,4,11
2024-05-01,Pan francés,2,5,45
2024-05-01,Pan dulce,2,5,20
2024-05-01,Galletas,2,5,12
2024-05-01,Pastel,2,5,10
2024-05-02,Pan francés,3,5,34
2024-05-02,Pan dulce,3,5,24
2024-05-02,Galletas,3,5,15
2024-05-02,Pastel,3,5,10
2024-05-03,Pan francés,4,5,58
2024-05-03,Pan dulce,4,5,37
2024-05-03,Galletas,4,5,20
2024-05-03,Pastel,4,5,16
2024-05-04,Pan francés,5,5,57
2024-05-04,Pan dulce,5,5,38
2024-05-04,Galletas,5,5,21
2024-05-04,Pastel,5,5,15
2024-05-05,Pan francés,6,5,31
2024-05-05,Pan dulce,6,5,19
2024-05-05,Galletas,6,5,10
2024-05-05,Pastel,6,5,8
2024-05-06,Pan francés,0,5,45
2024-05-06,Pan dulce,0,5,25
2024-05-06,Galletas,0,5,16
2024-05-06,Pastel,0,5,10
2024-05-07,Pan francés,1,5,43
2024-05-07,Pan dulce,1,5,25
2024-05-07,Galletas,1,5,15
2024-05-07,Pastel,1,5,10
2024-05-08,Pan francés,2,5,40
2024-05-08,Pan dulce,2,5,22
2024-05-08,Galletas,2,5,15
2024-05-08,Pastel,2,5,8
2024-05-09,Pan francés,3,5,39
2024-05-09,Pan dulce,3,5,26
2024-05-09,Galletas,3,5,16
2024-05-09,Pastel,3,5,10
2024-05-10,Pan francés,4,5,65
2024-05-10,Pan dulce,4,5,37
2024-05-10,Galletas,4,5,20
2024-05-10,Pastel,4,5,12
2024-05-11,Pan francés,5,5,54
2024-05-11,Pan dulce,5,5,32
2024-05-11,Galletas,5,5,23
2024-05-11,Pastel,5,5,14
2024-05-12,Pan francés,6,5,33
2024-05-12,Pan dulce,6,5,20
2024-05-12,Galletas,6,5,13
2024-05-12,Pastel,6,5,8
2024-05-13,Pan francés,0,5,37
2024-05-13,Pan dulce,0,5,24
2024-05-13,Galletas,0,5,14
2024-05-13,Pastel,0,5,8
2024-05-14,Pan francés,1,5,42
2024-05-14,Pan dulce,1,5,27
2024-05-14,Galletas,1,5,14
2024-05-14,Pastel,1,5,9
2024-05-15,Pan francés,2,5,44
2024-05-15,Pan dulce,2,5,19
2024-05-15,Galletas,2,5,15
2024-05-15,Pastel,2,5,10
2024-05-16,Pan francés,3,5,37
2024-05-16,Pan dulce,3,5,28
2024-05-16,Galletas,3,5,16
2024-05-16,Pastel,3,5,9
2024-05-17,Pan francés,4,5,59
2024-05-17,Pan dulce,4,5,36
2024-05-17,Galletas,4,5,21
2024-05-17,Pastel,4,5,13
2024-05-18,Pan francés,5,5,68
2024-05-18,Pan dulce,5,5,41
2024-05-18,Galletas,5,5,24
2024-05-18,Pastel,5,5,13
2024-05-19,Pan francés,6,5,38
2024-05-19,Pan dulce,6,5,23
2024-05-19,Galletas,6,5,12
2024-05-19,Pastel,6,5,7
2024-05-20,Pan francés,0,5,36
2024-05-20,Pan dulce,0,5,26
2024-05-20,Galletas,0,5,13
2024-05-20,Pastel,0,5,9
2024-05-21,Pan francés,1,5,44
2024-05-21,Pan dulce,1,5,21
2024-05-21,Galletas,1,5,18
2024-05-21,Pastel,1,5,11
2024-05-22,Pan francés,2,5,35
2024-05-22,Pan dulce,2,5,21
2024-05-22,Galletas,2,5,14
2024-05-22,Pastel,2,5,8
2024-05-23,Pan francés,3,5,38
2024-05-23,Pan dulce,3,5,18
2024-05-23,Galletas,3,5,14
2024-05-23,Pastel,3,5,11
2024-05-24,Pan francés,4,5,53
2024-05-24,Pan dulce,4,5,36
2024-05-24,Galletas,4,5,19
2024-05-24,Pastel,4,5,15
2024-05-25,Pan francés,5,5,58
2024-05-25,Pan dulce,5,5,44
2024-05-25,Galletas,5,5,22
2024-05-25,Pastel,5,5,14
2024-05-26,Pan francés,6,5,33
2024-05-26,Pan dulce,6,5,18
2024-05-26,Galletas,6,5,10
2024-05-26,Pastel,6,5,8
2024-05-27,Pan francés,0,5,39
2024-05-27,Pan dulce,0,5,25
2024-05-27,Galletas,0,5,15
2024-05-27,Pastel,0,5,9
2024-05-28,Pan francés,1,5,41
2024-05-28,Pan dulce,1,5,29
2024-05-28,Galletas,1,5,13
2024-05-28,Pastel,1,5,11
2024-05-29,Pan francés,2,5,39
2024-05-29,Pan dulce,2,5,23
2024-05-29,Galletas,2,5,18
2024-05-29,Pastel,2,5,10
2024-05-30,Pan francés,3,5,45
2024-05-30,Pan dulce,3,5,27
2024-05-30,Galletas,3,5,12
2024-05-30,Pastel,3,5,10
2024-05-31,Pan francés,4,5,56
2024-05-31,Pan dulce,4,5,32
2024-05-31,Galletas,4,5,18
2024-05-31,Pastel,4,5,15
2024-06-01,Pan francés,5,6,63
2024-06-01,Pan dulce,5,6,38
2024-06-01,Galletas,5,6,21
2024-06-01,Pastel,5,6,13
2024-06-02,Pan francés,6,6,28
2024-06-02,Pan dulce,6,6,18
2024-06-02,Galletas,6,6,10
2024-06-02,Pastel,6,6,7
2024-06-03,Pan francés,0,6,39
2024-06-03,Pan dulce,0,6,22
2024-06-03,Galletas,0,6,14
2024-06-03,Pastel,0,6,9
2024-06-04,Pan francés,1,6,39
2024-06-04,Pan dulce,1,6,26
2024-06-04,Galletas,1,6,15
2024-06-04,Pastel,1,6,10
2024-06-05,Pan francés,2,6,33
2024-06-05,Pan dulce,2,6,24
2024-06-05,Galletas,2,6,15
2024-06-05,Pastel,2,6,10
2024-06-06,Pan francés,3,6,33
2024-06-06,Pan dulce,3,6,25
2024-06-06,Galletas,3,6,16
2024-06-06,Pastel,3,6,9
2024-06-07,Pan francés,4,6,59
2024-06-07,Pan dulce,4,6,39
2024-06-07,Galletas,4,6,23
2024-06-07,Pastel,4,6,16
2024-06-08,Pan francés,5,6,60
2024-06-08,Pan dulce,5,6,38
2024-06-08,Galletas,5,6,20
2024-06-08,Pastel,5,6,14
2024-06-09,Pan francés,6,6,36
2024-06-09,Pan dulce,6,6,19
2024-06-09,Galletas,6,6,11
2024-06-09,Pastel,6,6,7
2024-06-10,Pan francés,0,6,43
2024-06-10,Pan dulce,0,6,22
2024-06-10,Galletas,0,6,16
2024-06-10,Pastel,0,6,9
2024-06-11,Pan francés,1,6,35
2024-06-11,Pan dulce,1,6,25
2024-06-11,Galletas,1,6,15
2024-06-11,Pastel,1,6,10
2024-06-12,Pan francés,2,6,44
2024-06-12,Pan dulce,2,6,23
2024-06-12,Galletas,2,6,15
2024-06-12,Pastel,2,6,9
2024-06-13,Pan francés,3,6,45
2024-06-13,Pan dulce,3,6,26
2024-06-13,Galletas,3,6,15
2024-06-13,Pastel,3,6,10
2024-06-14,Pan francés,4,6,55
2024-06-14,Pan dulce,4,6,36
2024-06-14,Galletas,4,6,23
2024-06-14,Pastel,4,6,14
2024-06-15,Pan francés,5,6,60
2024-06-15,Pan dulce,5,6,32
2024-06-15,Galletas,5,6,22
2024-06-15,Pastel,5,6,13
2024-06-16,Pan francés,6,6,28
2024-06-16,Pan dulce,6,6,19
2024-06-16,Galletas,6,6,9
2024-06-16,Pastel,6,6,8
2024-06-17,Pan francés,0,6,43
2024-06-17,Pan dulce,0,6,24
2024-06-17,Galletas,0,6,13
2024-06-17,Pastel,0,6,9
2024-06-18,Pan francés,1,6,39
2024-06-18,Pan dulce,1,6,18
2024-06-18,Galletas,1,6,15
2024-06-18,Pastel,1,6,10
2024-06-19,Pan francés,2,6,38
2024-06-19,Pan dulce,2,6,23
2024-06-19,Galletas,2,6,15
2024-06-19,Pastel,2,6,10
2024-06-20,Pan francés,3,6,44
2024-06-20,Pan dulce,3,6,25
2024-06-20,Galletas,3,6,13
2024-06-20,Pastel,3,6,9
2024-06-21,Pan francés,4,6,61
2024-06-21,Pan dulce,4,6,43
2024-06-21,Galletas,4,6,21
2024-06-21,Pastel,4,6,13
2024-06-22,Pan francés,5,6,54
2024-06-22,Pan dulce,5,6,29
2024-06-22,Galletas,5,6,23
2024-06-22,Pastel,5,6,12
2024-06-23,Pan francés,6,6,28
2024-06-23,Pan dulce,6,6,16
2024-06-23,Galletas,6,6,10
2024-06-23,Pastel,6,6,8
2024-06-24,Pan francés,0,6,34
2024-06-24,Pan dulce,0,6,20
2024-06-24,Galletas,0,6,15
2024-06-24,Pastel,0,6,9
2024-06-25,Pan francés,1,6,41
2024-06-25,Pan dulce,1,6,26
2024-06-25,Galletas,1,6,14
2024-06-25,Pastel,1,6,8
2024-06-26,Pan francés,2,6,39
2024-06-26,Pan dulce,2,6,26
2024-06-26,Galletas,2,6,14
2024-06-26,Pastel,2,6,8
2024-06-27,Pan francés,3,6,44
2024-06-27,Pan dulce,3,6,23
2024-06-27,Galletas,3,6,14
2024-06-27,Pastel,3,6,10
2024-06-28,Pan francés,4,6,66
2024-06-28,Pan dulce,4,6,38
2024-06-28,Galletas,4,6,21
2024-06-28,Pastel,4,6,16
2024-06-29,Pan francés,5,6,72
2024-06-29,Pan dulce,5,6,42
2024-06-29,Galletas,5,6,24
2024-06-29,Pastel,5,6,13
2024-06-30,Pan francés,6,6,44
2024-06-30,Pan dulce,6,6,17
2024-06-30,Galletas,6,6,11
2024-06-30,Pastel,6,6,7
2024-07-01,Pan francés,0,7,46
2024-07-01,Pan dulce,0,7,26
2024-07-01,Galletas,0,7,12
2024-07-01,Pastel,0,7,10
2024-07-02,Pan francés,1,7,42
2024-07-02,Pan dulce,1,7,24
2024-07-02,Galletas,1,7,13
2024-07-02,Pastel,1,7,9
2024-07-03,Pan francés,2,7,38
2024-07-03,Pan dulce,2,7,25
2024-07-03,Galletas,2,7,14
2024-07-03,Pastel,2,7,10
2024-07-04,Pan francés,3,7,36
2024-07-04,Pan dulce,3,7,20
2024-07-04,Galletas,3,7,13
2024-07-04,Pastel,3,7,11
